GenomeName,A_content,T_content,G_content,C_content,Size
g__Candidatus_Liberibacter.s__Liberibacter_crescens,390511,251309,208706,407013,1257539
g__Candidatus_Methylomirabilis.s__Candidatus_Methylomirabilis_oxyfera,502513,764598,690937,508306,2466354
g__Candidatus_Microgenomatus.s__Candidatus_Microgenomatus_auricola,163259,89768,72656,137121,462780
g__Candidatus_Midichloria.s__Candidatus_Midichloria_mitochondrii,280941,170241,132584,249169,832935
g__Candidatus_Moranella.s__Candidatus_Moranella_endobia,116553,99397,88801,110998,415749
g__Candidatus_Nitrosoarchaeum.s__Candidatus_Nitrosoarchaeum_koreensis,1055120,536081,430793,826188,2848182
g__Candidatus_Nitrosoarchaeum.s__Candidatus_Nitrosoarchaeum_limnia,850816,415050,332443,670041,2268350
g__Candidatus_Odyssella.s__Candidatus_Odyssella_thessalonicensis,690379,532927,497886,665217,2386409
g__Candidatus_Pelagibacter.s__Candidatus_Pelagibacter_sp_HTCC7211,518817,228077,163181,425481,1335556
g__Candidatus_Pelagibacter.s__Candidatus_Pelagibacter_sp_IMCC9063,447126,217315,170146,381544,1216131
g__Candidatus_Pelagibacter.s__Candidatus_Pelagibacter_ubique,2240608,985932,718610,1837014,5782140
g__Candidatus_Photodesmus.s__Candidatus_Photodesmus_katoptron,292663,147203,120042,281223,841131
g__Candidatus_Phytoplasma.s__Aster_yellows_witches_broom_phytoplasma,192610,67199,73830,157500,491139
g__Candidatus_Phytoplasma.s__Candidatus_Phytoplasma_australiense,282209,98960,102134,220134,703437
g__Candidatus_Phytoplasma.s__Candidatus_Phytoplasma_mali,176493,54608,41799,155884,428784
g__Candidatus_Phytoplasma.s__Onion_yellows_phytoplasma,215714,77326,87033,175959,556023
g__Candidatus_Phytoplasma.s__Peanut_witches_broom_phytoplasma,151326,52122,42434,140098,385980
g__Candidatus_Portiera.s__Candidatus_Portiera_aleyrodidarum,213148,78730,52479,171472,515829
g__Candidatus_Protochlamydia.s__Candidatus_Protochlamydia_amoebophila,643659,366991,343544,614076,1968270
g__Candidatus_Puniceispirillum.s__Candidatus_Puniceispirillum_marinum,603126,655499,567950,640316,2466891
g__Candidatus_Regiella.s__Candidatus_Regiella_insecticola,714516,555587,490894,663727,2424451
g__Candidatus_Riesia.s__Candidatus_Riesia_pediculicola,171852,74806,57479,144924,449061
g__Candidatus_Saccharibacteria_noname.s__candidate_division_TM7_genomosp_GTL1,118815,110995,104695,106060,440451
g__Candidatus_Saccharibacteria_noname.s__candidate_division_TM7_single_cell_isolate_TM7b,27286,17141,13658,23650,81735
g__Candidatus_Saccharibacteria_noname.s__candidate_division_TM7_single_cell_isolate_TM7c,134871,92583,73739,120487,421680
g__Candidatus_Saccharimonas.s__Candidatus_Saccharimonas_aalborgensis,244653,229282,215936,220647,910518
g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus,1700632,2767822,2797564,1643643,8909661
g__Candidatus_Sulcia.s__Candidatus_Sulcia_muelleri,325131,96538,66685,256391,744736
g__Candidatus_Symbiobacter.s__Candidatus_Symbiobacter_mobilis,551296,805531,799364,535820,2692011
g__Candidatus_Tremblaya.s__Candidatus_Tremblaya_phenacola,46371,34797,29270,42355,152793
g__Candidatus_Tremblaya.s__Candidatus_Tremblaya_princeps,19314,28414,24141,17489,89358
g__Candidatus_Zinderia.s__Candidatus_Zinderia_insecticola,93224,14689,9959,68950,186822
g__Capillovirus.s__Apple_stem_grooving_virus,2229,1690,1363,1999,7281
g__Capillovirus.s__Cherry_virus_A,2184,1466,1306,2073,7029
g__Capnocytophaga.s__Capnocytophaga_canimorsus,754402,448481,384578,656959,2244420
g__Capnocytophaga.s__Capnocytophaga_cynodegmi,816889,460641,371752,694537,2343795
g__Capnocytophaga.s__Capnocytophaga_gingivalis,732512,503697,474664,646122,2356995
g__Capnocytophaga.s__Capnocytophaga_granulosa,749216,533518,513772,657010,2453516
g__Capnocytophaga.s__Capnocytophaga_ochracea,1077623,697287,659744,920638,3355292
g__Capnocytophaga.s__Capnocytophaga_sp_CM59,763399,540861,519323,666298,2489881
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_324,787137,506653,479388,672222,2445400
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_326,969874,579159,578653,817264,2944950
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_329,1806229,1535032,1338155,1573600,6253016
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_332,806215,513327,443190,679562,2442294
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_335,704271,459077,436542,605023,2204913
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_336,775903,496715,470302,656566,2399486
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_338,743659,448387,398389,660623,2251058
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_380,758762,489862,464401,649661,2362686
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_412,715657,465617,438572,614416,2234262
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_863,761155,535256,519790,657775,2473976
g__Capnocytophaga.s__Capnocytophaga_sputigena,850160,509773,505219,723355,2588507
g__Capripoxvirus.s__Goatpox_virus,56639,20387,15736,46834,139596
g__Capripoxvirus.s__Lumpy_skin_disease_virus,58044,20846,16090,48024,143004
g__Capripoxvirus.s__Sheeppox_virus,56394,20273,15693,46609,138969
g__Carboxydothermus.s__Carboxydothermus_hydrogenoformans,644296,521509,387454,591528,2144784
g__Cardiobacterium.s__Cardiobacterium_hominis,521516,617984,774152,404840,2318492
g__Cardiobacterium.s__Cardiobacterium_valvarum,520808,615742,747582,433759,2317891
g__Cardiovirus.s__Encephalomyocarditis_virus,1808,1625,1697,1749,6879
g__Cardiovirus.s__Theilovirus,4084,3242,3913,4212,15451
g__Carlavirus.s__Aconitum_latent_virus,2223,2106,1882,2192,8403
g__Carlavirus.s__American_hop_latent_virus,2273,2176,1881,2148,8478
g__Carlavirus.s__Blueberry_scorch_virus,2017,2185,1707,2137,8046
g__Carlavirus.s__Butterbur_mosaic_virus,2397,2048,1765,2280,8490
g__Carlavirus.s__Coleus_vein_necrosis_virus,2263,2196,1850,2232,8541
g__Carlavirus.s__Cowpea_mild_mottle_virus,2370,1800,1477,2333,7980
g__Carlavirus.s__Daphne_virus_S,2321,2197,1681,2315,8514
g__Carlavirus.s__Garlic_common_latent_virus,2238,2105,1700,2402,8445
g__Carlavirus.s__Helleborus_net_necrosis_virus,2292,1976,1825,2271,8364
g__Carlavirus.s__Hippeastrum_latent_virus,2218,2248,1701,2146,8313
g__Carlavirus.s__Hop_latent_virus,2178,2358,1674,2178,8388
g__Carlavirus.s__Hop_mosaic_virus,2152,2331,1765,2113,8349
g__Carlavirus.s__Hydrangea_chlorotic_mottle_virus,2325,2165,1673,2102,8265
g__Carlavirus.s__Kalanchoe_latent_virus,2329,2051,1845,2163,8376
g__Carlavirus.s__Ligustrum_necrotic_ringspot_virus,2240,1978,1749,1977,7944
g__Carlavirus.s__Lily_symptomless_virus,2281,2051,2043,1974,8349
g__Carlavirus.s__Mirabilis_jalapa_mottle_virus,2155,2223,1879,2020,8274
g__Carlavirus.s__Narcissus_common_latent_virus,2091,2089,1983,2156,8319
g__Carlavirus.s__Narcissus_symptomless_virus,2767,1739,1450,2219,8175
g__Carlavirus.s__Passiflora_latent_carlavirus,2278,2185,1679,2117,8256
g__Carlavirus.s__Phlox_Virus_B,2582,2254,1723,2168,8715
g__Carlavirus.s__Phlox_virus_S,2328,2158,1572,2366,8424
g__Carlavirus.s__Poplar_mosaic_virus,2336,2245,1686,2319,8586
g__Carlavirus.s__Potato_latent_virus,2163,2070,1496,1996,7725
g__Carlavirus.s__Potato_virus_H,2163,2360,1707,2017,8247
g__Carlavirus.s__Potato_virus_M,2196,2404,1696,2065,8361
g__Carlavirus.s__Potato_Virus_P,2260,2329,1569,2086,8244
g__Carlavirus.s__Potato_virus_S,2231,2287,1809,2073,8400
g__Carlavirus.s__Red_clover_vein_mosaic_virus,2209,2084,1569,2445,8307
g__Carlavirus.s__Shallot_latent_virus,2214,1924,1706,2361,8205
g__Carlavirus.s__Sweet_potato_chlorotic_fleck_virus,2673,2159,1606,2394,8829
g__Carmovirus.s__Angelonia_flower_break_virus,973,915,850,829,3567
g__Carmovirus.s__Calibrachoa_mottle_virus,1072,865,748,843,3528
g__Carmovirus.s__Cardamine_chlorotic_fleck_virus,971,980,885,827,3663
g__Carmovirus.s__Carnation_mottle_virus,1043,1012,776,826,3657
g__Carmovirus.s__Cowpea_mottle_virus,977,985,953,895,3810
g__Carmovirus.s__Hibiscus_chlorotic_ringspot_virus,934,958,843,961,3696
g__Carmovirus.s__Honeysuckle_ringspot_virus,1039,978,795,866,3678
g__Carmovirus.s__Japanese_iris_necrotic_ring_virus,924,971,937,894,3726
g__Carmovirus.s__Melon_necrotic_spot_virus,1001,980,821,1134,3936
g__Carmovirus.s__Nootka_lupine_vein_clearing_virus,920,1015,761,874,3570
g__Carmovirus.s__Pea_stem_necrosis_virus,902,917,800,1056,3675
g__Carmovirus.s__Pelargonium_flower_break_virus,930,996,863,865,3654
g__Carmovirus.s__Saguaro_cactus_virus,962,1138,952,1025,4062
g__Carmovirus.s__Soybean_yellow_mottle_mosaic_virus,920,895,871,827,3513
g__Carmovirus.s__TGP_Carmovirus_1,952,923,806,913,3594
g__Carmovirus.s__Turnip_crinkle_virus,968,1019,852,764,3603
g__Carnobacterium.s__Carnobacterium_maltaromaticum,1215009,706824,524464,1074478,3520775
g__Carnobacterium.s__Carnobacterium_sp_17_4,765075,452960,346324,661356,2225715
g__Carnobacterium.s__Carnobacterium_sp_AT7,715176,420548,322186,614663,2072573
g__Carnobacterium.s__Carnobacterium_sp_WN1359,665823,390747,300779,572863,1930212
g__Catellicoccus.s__Catellicoccus_marimammalium,414610,222610,172499,341633,1151352
g__Catelliglobosispora.s__Catelliglobosispora_koreensis,1216690,2224296,2259343,1233483,6933680
g__Catenibacterium.s__Catenibacterium_mitsuokai,797497,513245,381897,725958,2418597
g__Catenovulum.s__Catenovulum_agarivorans,1393528,964174,847556,1276960,4482218
g__Catenulispora.s__Catenulispora_acidiphila,1403949,3190897,3309696,1350038,9254580
g__Catonella.s__Catonella_morbi,1055699,703669,468603,873336,3101307
g__Caudovirales_noname.s__Bacillus_phage_phiAGATE,43183,28868,24058,31495,127604
g__Caudovirales_noname.s__Bacillus_phage_phiNIT1,40950,29770,24158,30961,125839
g__Caudovirales_noname.s__Bacillus_virus_1,9888,8094,6273,7761,32016
g__Caudovirales_noname.s__Cyanophage_P_SSP2,14990,8801,7466,11703,42960
g__Caudovirales_noname.s__Cyanophage_SS120_1,14205,9280,8128,11428,43041
g__Caudovirales_noname.s__Enterobacteria_phage_NJ01,16230,12668,10385,15434,54717
g__Caudovirales_noname.s__Geobacillus_phage_GBSV1,9874,8131,6142,7842,31989
g__Caudovirales_noname.s__Mycobacterium_phage_Ardmore,9869,15930,14539,9133,49471
g__Caudovirales_noname.s__Paenibacillus_phage_phiIBB_Pl23,12735,8895,6792,9357,37779
g__Caudovirales_noname.s__Prochlorococcus_phage_Syn1,57737,40246,36145,53592,187720
g__Caudovirales_noname.s__Prochlorococcus_phage_Syn33,52591,36888,30928,50245,170643
g__Caudovirales_noname.s__Providencia_phage_Redjac,11911,11243,10329,9143,42626
g__Caudovirales_noname.s__Salmonella_phage_ST64B,9354,10224,8495,8399,36472
g__Caudovirales_noname.s__Sinorhizobium_phage_PBC5,14732,23190,22992,13570,74484
g__Caudovirales_noname.s__Staphylococcus_phage_SA11,47226,21178,14538,35036,117978
g__Caudovirales_noname.s__Tetrasphaera_phage_TJE1,9832,12428,12207,8100,42567
g__Caudovirales_noname.s__Thermus_phage_phi_OH2,11225,9003,6733,8293,35254
g__Caudovirales_noname.s__Xanthomonas_phage_Xp15,12536,13786,12832,11708,50835
g__Caulimoviridae_noname.s__Lucky_bamboo_bacilliform_virus,2181,1837,1959,1655,7632
g__Caulimoviridae_noname.s__Rose_yellow_vein_virus,2843,1423,1508,2065,7839
g__Caulimoviridae_noname.s__Rudbeckia_flower_distortion_virus,2691,1168,1460,1893,7212
g__Caulimovirus.s__Carnation_etched_ring_virus,2570,1222,1245,1773,6810
g__Caulimovirus.s__Cauliflower_mosaic_virus,2691,1397,1488,1654,7230
g__Caulimovirus.s__Dahlia_mosaic_virus,2582,1278,1334,1688,6882
g__Caulimovirus.s__Eupatorium_vein_clearing_virus,2501,1245,1321,1752,6819
g__Caulimovirus.s__Figwort_mosaic_virus,2752,1265,1226,1784,7027
g__Caulimovirus.s__Horseradish_latent_virus,2554,1424,1474,1637,7089
g__Caulimovirus.s__Lamium_leaf_distortion_virus,2622,1227,1244,1930,7023
g__Caulimovirus.s__Mirabilis_mosaic_virus,2590,1338,1296,1721,6945
g__Caulimovirus.s__Strawberry_vein_banding_virus,2562,1311,1370,1681,6924
g__Caulobacter.s__Caulobacter_segnis,650137,1345707,1412561,635712,4044117
g__Caulobacter.s__Caulobacter_sp_AP07,779930,1691962,1804638,748305,5024835
g__Caulobacter.s__Caulobacter_sp_JGI_0001010_J14,234968,486130,516495,219750,1457268
g__Caulobacter.s__Caulobacter_sp_JGI_0001013_D04,111821,234510,248608,106885,701764
g__Caulobacter.s__Caulobacter_sp_JGI_0001013_O16,241566,505243,532732,232990,1512459
g__Caulobacter.s__Caulobacter_sp_K31,769082,1585003,1669394,751261,4774740
g__Caulobacter.s__Caulobacter_vibrioides,1224279,2545261,2644954,1209727,7624218
g__Cavemovirus.s__Cassava_vein_mosaic_virus,3652,1116,749,2121,7638
g__Cavemovirus.s__Sweet_potato_caulimo_like_virus,3420,1086,676,1886,7068
g__Cavemovirus.s__Tobacco_vein_clearing_virus,3017,912,762,1471,6162
g__Cecembia.s__Cecembia_lonarensis,1279177,956663,775477,1164263,4175580
g__Cedecea.s__Cedecea_davisae,991088,1244938,1180731,970257,4387014
g__Celeribacter.s__Celeribacter_baekdonensis,765031,1169501,1108234,831807,3874573
g__Cellulomonas.s__Cellulomonas_fimi,467262,1408186,1450187,503748,3829383
g__Cellulomonas.s__Cellulomonas_flavigena,457972,1369569,1385513,494100,3707154
g__Cellulomonas.s__Cellulomonas_sp_JC225,347078,1049360,1065576,371930,2833941
g__Cellulomonas.s__Cellvibrio_gilvus,405784,1194369,1172961,432419,3205533
g__Cellulophaga.s__Cellulophaga_algicola,1488499,816881,634165,1293350,4232895
g__Cellulophaga.s__Cellulophaga_lytica,1253340,631541,485189,1049357,3419427
g__Cellulosilyticum.s__Cellulosilyticum_lentocellum,1400003,817867,565057,1186330,3969257
g__Cellvibrio.s__Cellvibrio_japonicus,954456,1082484,1048181,957166,4042287
g__Cellvibrio.s__Cellvibrio_sp_BR,1094144,1106942,1029268,1084438,4314792
g__Cenarchaeum.s__Cenarchaeum_symbiosum,417628,546319,463262,327257,1754349
g__Centipeda.s__Centipeda_periodontii,544426,737838,657108,512207,2451579
g__Cervidpoxvirus.s__Deerpox_virus_W_1170_84,61259,23041,17952,50710,152962
g__Cervidpoxvirus.s__Deerpox_virus_W_848_83,61477,22913,17834,50768,152992
g__Cesiribacter.s__Cesiribacter_andamanensis,951478,1126589,1148807,862189,4089042
g__Cetobacterium.s__Cetobacterium_somerae,1116761,517793,303547,898582,2836683
g__Chaetomium.s__Chaetomium_globosum,3550039,4696334,4974728,3012625,16227147
g__Chamaesiphon.s__Chamaesiphon_minutus,1323894,1148453,1120522,1256657,4849526
g__Chelativorans.s__Chelativorans_sp_BNC1,748656,1227028,1198689,766517,3940890
g__Chelatococcus.s__Chelatococcus_sp_GW1,683599,1520358,1637626,719877,4561460
g__Cheravirus.s__Apple_latent_spherical_virus,2429,1896,1834,2967,9126
g__Cheravirus.s__Arracacha_virus_B,2512,2191,2007,3022,9732
g__Cheravirus.s__Cherry_rasp_leaf_virus,2422,2194,2021,2999,9636
g__Chipapillomavirus.s__Chipapillomavirus_2,1774,2043,1761,1559,7137
g__Chitiniphilus.s__Chitiniphilus_shinanonensis,581745,1153539,1189892,538082,3463258
g__Chitinophaga.s__Chitinophaga_pinensis,2298435,1929211,1761280,1993404,7982330
g__Chlamydiamicrovirus.s__Chlamydia_phage_1,781,649,354,1030,2814
g__Chlamydiamicrovirus.s__Chlamydia_phage_2,1154,935,770,1236,4095
g__Chlamydiamicrovirus.s__Chlamydia_phage_3,1154,935,770,1236,4095
g__Chlamydiamicrovirus.s__Chlamydia_phage_4,1154,935,770,1236,4095
g__Chlamydiamicrovirus.s__Chlamydia_pneumoniae_phage_CPAR39,3537,3537,3537,3537,3537
g__Chlamydiamicrovirus.s__Guinea_pig_Chlamydia_phage,1119,894,751,1187,3951
g__Chlamydia.s__Chlamydia_ibidis,311706,209360,191037,320571,1032674
g__Chlamydia.s__Chlamydia_muridarum,302444,223896,205874,317360,1049475
g__Chlamydia.s__Chlamydia_pecorum,363030,263192,256538,363302,1246050
g__Chlamydia.s__Chlamydia_pneumoniae,351834,252157,244793,354612,1203396
g__Chlamydia.s__Chlamydia_psittaci,1287788,835052,806448,1287890,4217178
g__Chlamydia.s__Chlamydia_trachomatis,330437,248774,233481,337799,1150404
g__Chlamydophila.s__Chlamydophila_abortus,303051,211033,202528,305064,1021676
g__Chlamydophila.s__Chlamydophila_caviae,313803,214778,202131,316150,1046862
g__Chlamydophila.s__Chlamydophila_felis,317082,216302,206376,318616,1058376
g__Chlamydophila.s__Chlamydophila_sp_08_1274_3,289784,187386,179468,298569,955207
g__Chloriridovirus.s__Invertebrate_iridescent_virus_3,34879,32291,34632,28671,130473
g__Chlorobaculum.s__Chlorobaculum_parvum,442686,568145,570481,409872,1991184
g__Chlorobaculum.s__Chlorobaculum_tepidum,415817,540131,546248,382323,1884498
g__Chlorobium.s__Chlorobium_chlorochromatii,547238,472651,426754,558554,2005197
g__Chlorobium.s__Chlorobium_ferrooxidans,529434,558717,533246,516801,2138186
g__Chlorobium.s__Chlorobium_limicola,581931,627757,603556,543589,2356833
g__Chlorobium.s__Chlorobium_phaeobacteroides,1236780,1229398,1119843,1168556,4754577
g__Chlorobium.s__Chlorobium_phaeovibrioides,416134,478878,469381,402520,1766913
g__Chloroflexi_noname.s__SAR202_cluster_bacterium_SCGC_AAA240_N13,262644,325908,308806,236299,1133633
g__Chloroflexus.s__Chloroflexus_aggregans,821447,1178678,1118499,928091,4046715
g__Chloroflexus.s__Chloroflexus_aurantiacus,849770,1235049,1175934,959872,4220625
g__Chloroflexus.s__Chloroflexus_sp_Y_400_fl,862412,1255430,1197276,972908,4288026
g__Chlorogloeopsis.s__Chlorogloeopsis_fritschii,1826282,1387960,1257411,1728732,6200385
g__Chlorogloeopsis.s__Chlorogloeopsis_sp_PCC_9212,1795633,1366242,1239010,1701655,6102540
g__Chloroherpeton.s__Chloroherpeton_thalassium,794733,689361,625722,740232,2850048
g__Chlorovirus.s__Acanthocystis_turfacea_Chlorella_virus_1,97339,98409,97343,90081,383172
g__Chlorovirus.s__Paramecium_bursaria_Chlorella_virus_1,122380,82515,77619,107917,390431
g__Chlorovirus.s__Paramecium_bursaria_Chlorella_virus_A1,113612,95061,92289,106786,407748
g__Chlorovirus.s__Paramecium_bursaria_Chlorella_virus_AR158,123928,87806,83042,110701,405459
g__Chlorovirus.s__Paramecium_bursaria_Chlorella_virus_NY2A,133323,93098,87782,117580,431783
g__Chromobacterium.s__Chromobacterium_sp_C_61,766762,1347477,1323996,733851,4171786
g__Chromobacterium.s__Chromobacterium_violaceum,749505,1387554,1370441,689008,4196508
g__Chromohalobacter.s__Chromohalobacter_salexigens,583410,1060136,1072312,591117,3306975
g__Chroococcidiopsis.s__Chroococcidiopsis_thermalis,1464164,1222785,1143063,1390126,5220138
g__Chryseobacterium.s__Chryseobacterium_gleum,1688502,1019843,859992,1397440,4965777
g__Chryseobacterium.s__Chryseobacterium_sp_CF314,1350419,818885,685371,1128204,3982879
g__Chryseobacterium.s__Chryseobacterium_taeanense,927835,1886058,1964509,893427,5671829
g__Chrysovirus.s__Amasya_cherry_disease_associated_chrysovirus,3391,3193,1931,2423,10938
g__Chrysovirus.s__Helminthosporium_victoriae_145S_virus,3183,3175,1709,2544,10611
g__Chrysovirus.s__Magnaporthe_oryzae_chrysovirus_1,2204,3872,3012,1940,11028
g__Chrysovirus.s__Penicillium_chrysogenum_virus,3022,3497,2552,2515,11586
g__Chthoniobacter.s__Chthoniobacter_flavus,1341904,2055363,2149433,1279572,6826272
g__Chthonomonas.s__Chthonomonas_calidirosea,675690,837347,850421,696104,3059481
g__Cilevirus.s__Citrus_leprosis_virus_C,3081,2758,2260,3778,11877
g__Circoviridae_noname.s__Cyclovirus_bat_USA_2009,603,311,395,394,1703
g__Circoviridae_noname.s__Cyclovirus_NGchicken15_NGA_2009,541,363,421,435,1760
g__Circoviridae_noname.s__Cyclovirus_PKgoat11_PAK_2009,547,374,391,439,1751
g__Circoviridae_noname.s__Cyclovirus_PKgoat21_PAK_2009,549,430,402,457,1838
g__Circoviridae_noname.s__Cyclovirus_VN,171,142,177,179,669
g__Circoviridae_noname.s__Florida_woods_cockroach_associated_cyclovirus,453,331,322,392,1495
g__Circoviridae_noname.s__Human_cyclovirus_VS5700009,537,487,364,444,1832
g__Circovirus.s__Acartia_tonsa_copepod_circovirus,453,405,463,349,1670
g__Circovirus.s__Barbel_circovirus,534,511,416,496,1957
g__Circovirus.s__Bat_circovirus,458,474,377,489,1798
g__Circovirus.s__Beak_and_feather_disease_virus,347,276,319,270,1212
g__Circovirus.s__Canary_circovirus,572,548,488,470,2075
g__Circovirus.s__Canine_circovirus,452,587,484,540,2063
g__Circovirus.s__Columbid_circovirus,582,679,648,497,2406
g__Circovirus.s__Duck_circovirus,904,855,842,753,3354
g__Circovirus.s__Finch_circovirus,541,589,521,425,2076
g__Circovirus.s__Goose_circovirus,405,503,393,520,1821
g__Circovirus.s__Gull_circovirus,557,548,479,492,2076
g__Circovirus.s__Labidocera_aestiva_circovirus,526,450,451,337,1764
g__Circovirus.s__Porcine_circovirus_1,432,506,344,476,1758
g__Circovirus.s__Porcine_circovirus_2,452,492,366,458,1768
g__Circovirus.s__Porcine_circovirus_type_1_2a,452,492,366,458,1768
g__Circovirus.s__Raven_circovirus,430,544,438,486,1898
g__Circovirus.s__Starling_circovirus,566,564,463,429,2022
g__Citreicella.s__Citreicella_sp_357,701559,1323316,1267392,717064,4009328
g__Citreicella.s__Citreicella_sp_SE45,763336,1588602,1637441,752853,4741506
g__Citricoccus.s__Citricoccus_sp_CH26A,443734,1075104,1119474,442214,3080526
g__Citrivirus.s__Citrus_leaf_blotch_virus,2575,1803,1427,2265,8070
g__Citrobacter.s__Citrobacter_freundii,3240583,3803113,3442608,3228967,13715223
g__Citrobacter.s__Citrobacter_koseri,974973,1230220,1117145,974094,4296432
g__Citrobacter.s__Citrobacter_rodentium,978988,1285945,1175091,957631,4397655
g__Citrobacter.s__Citrobacter_sp_30_2,1046748,1230709,1119713,1046844,4444014
g__Citrobacter.s__Citrobacter_sp_A1,1064724,1253988,1133576,1064470,4516758
g__Citrobacter.s__Citrobacter_sp_KTE151,1079874,1288563,1172345,1078256,4619038
g__Citrobacter.s__Citrobacter_sp_KTE30,1017896,1203256,1089067,1021267,4331486
g__Citrobacter.s__Citrobacter_sp_KTE32,1011044,1211523,1100035,1016507,4339109
g__Citrobacter.s__Citrobacter_sp_L17,1065878,1254977,1134258,1065442,4520555
g__Citrobacter.s__Citrobacter_youngae,1076163,1299867,1184024,1072301,4632355
g__Citromicrobium.s__Citromicrobium_bathyomarinum,531103,985617,957500,494470,2968669
g__Citromicrobium.s__Citromicrobium_sp_JLT1363,515362,948156,917917,478409,2859844
g__Clavibacter.s__Clavibacter_michiganensis,1091511,2823740,3135443,1114358,8165052
g__Clavispora.s__Clavispora_lusitaniae,2241350,1934125,1873203,2101749,8150427
g__Closteroviridae_noname.s__Blueberry_virus_A,4287,4160,3503,4785,16735
g__Closteroviridae_noname.s__Grapevine_leafroll_associated_virus_7,5298,3333,2467,5039,16134
g__Closteroviridae_noname.s__Little_cherry_virus_1,5263,3219,2601,5337,16420
g__Closterovirus.s__Beet_yellows_virus,3846,3650,3396,4361,15253
g__Closterovirus.s__Carrot_yellow_leaf_virus,4075,3348,3701,4401,15519
g__Closterovirus.s__Citrus_tristeza_virus,4506,4723,3751,5666,18646
g__Closterovirus.s__Grapevine_leafroll_associated_virus_2,4064,4184,3323,4623,16194
g__Closterovirus.s__Grapevine_rootstock_stem_lesion_associated_virus,4128,4151,3364,4480,16123
g__Closterovirus.s__Mint_virus_1,3755,3542,3383,4290,14970
g__Closterovirus.s__Raspberry_leaf_mottle_virus,3526,3630,3999,4829,15984
g__Closterovirus.s__Strawberry_chlorotic_fleck_associated_virus,4608,3884,2917,5067,16476
g__Clostridiaceae_noname.s__Clostridiaceae_bacterium_JC118,944728,735147,547233,915403,3142511
g__Clostridiales_Family_XIII_Incertae_Sedis_noname.s__Eubacterium_infirmum,562025,407159,291570,450297,1711045
g__Clostridiales_Family_XI_Incertae_Sedis_noname.s__Clostridiales_bacterium_BV3C26,672630,325483,231099,512417,1741629
g__Clostridiales_noname.s__Bacteroides_pectinophilus,853093,681889,478792,719373,2733147
g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA,1502590,1642052,1293582,1309466,5747690
g__Clostridiales_noname.s__Clostridiales_genomosp_BVAB3,454197,394976,328564,436410,1614147
g__Clostridium.s__Clostridium_acetobutylicum,1308540,664812,413947,1037852,3425151
g__Clostridium.s__Clostridium_acidurici,1017985,484240,295499,744026,2541750
g__Clostridium.s__Clostridium_arbusti,1223951,608717,381756,983026,3197450
g__Clostridium.s__Clostridium_asparagiforme,1312486,1765039,1457347,1176852,5711724
g__Clostridium.s__Clostridium_autoethanogenum,1390890,709366,451481,1108637,3660374
g__Clostridium.s__Clostridium_beijerinckii,2450174,1217394,736723,1934671,6338962
g__Clostridium.s__Clostridium_bolteae,2642009,2654037,2056132,2250657,9602835
g__Clostridium.s__Clostridium_botulinum,9937554,4392819,2579241,7551139,24460747
g__Clostridium.s__Clostridium_butyricum,2083726,982707,575142,1626176,5267751
g__Clostridium.s__Clostridium_carboxidivorans,1846415,906476,558665,1473804,4785351
g__Clostridium.s__Clostridium_celatum,1226222,569575,311660,963881,3071338
g__Clostridium.s__Clostridium_cellulolyticum,1168184,752242,553234,951115,3424775
g__Clostridium.s__Clostridium_cellulovorans,1645219,852399,552872,1331132,4381607
g__Clostridium.s__Clostridium_citroniae,1566371,1653447,1282273,1369600,5871643
g__Clostridium.s__Clostridium_clariflavum,1278773,810391,558752,1051409,3699325
g__Clostridium.s__Clostridium_clostridioforme,3447076,3510168,2746997,2928114,12632349
g__Clostridium.s__Clostridium_colicanis,1217555,511772,285272,918161,2932760
g__Clostridium.s__Clostridium_hathewayi,4549352,4873992,3692880,3999174,17115395
g__Clostridium.s__Clostridium_hylemonae,976135,992317,740878,787324,3496654
g__Clostridium.s__Clostridium_kluyveri,1233858,655130,424091,982169,3295248
g__Clostridium.s__Clostridium_leptum,743236,801703,687464,689611,2922014
g__Clostridium.s__Clostridium_ljungdahlii,1469852,751326,478374,1172017,3871569
g__Clostridium.s__Clostridium_methylpentosum,750610,789284,783585,645800,2969279
g__Clostridium.s__Clostridium_nexile,1140404,841632,554825,906330,3443191
g__Clostridium.s__Clostridium_novyi,880725,395408,236368,655806,2168307
g__Clostridium.s__Clostridium_papyrosolvens,2769387,1765481,1304656,2271278,8110799
g__Clostridium.s__Clostridium_pasteurianum,4638231,2317506,1441525,3700909,12098171
g__Clostridium.s__Clostridium_perfringens,2764909,1226342,676956,2123150,6791357
g__Clostridium.s__Clostridium_phytofermentans,1344912,836667,596431,1170815,3948825
